"ID","adj.P.Val","P.Value","t","B","logFC","GenBank.Accession","Platform_SPOTID","Gene.symbol","Gene.title"
"208864_s_at",2.96008696876368e-10,1.04489581156176e-12,-8.43462201042773,18.6107162992666,-0.951559992482439,"AF313911","","TXN","thioredoxin"
"229072_at",3.08708678089526e-10,1.0953723557269e-12,8.42425295306776,18.5649246012713,1.47383086740125,"BF968097","","RAB30","RAB30, member RAS oncogene family"
"223694_at",3.10971637161301e-10,1.10908951525293e-12,-8.42151757135757,18.55284501045,-1.49514787490476,"AF220032","","TRIM7","tripartite motif containing 7"
"225356_at",3.19610779512236e-10,1.14574691878186e-12,-8.41437020604664,18.5212826047174,-0.587452510582358,"AA526907","","SFT2D2","SFT2 domain containing 2"
"1559759_at",3.21980019326242e-10,1.16012919629208e-12,-8.41162819728289,18.5091743194317,-1.14280621705308,"BE407830","","KIFC3","kinesin family member C3"
"210638_s_at",3.27708998636557e-10,1.18676509794309e-12,-8.40663852152488,18.4871411009321,-1.0867996881772,"AF176704","","FBXO9","F-box protein 9"
"225005_at",3.31499385948022e-10,1.20717240345083e-12,8.4028907539307,18.4705922097311,0.881724071819669,"AL039384","","PHF13","PHD finger protein 13"
"236635_at",3.31499385948022e-10,1.21261778124562e-12,8.40190141410283,18.4662236667606,1.24410333803279,"","","ZNF667","zinc finger protein 667"
"31637_s_at",3.31781272814412e-10,1.21971716206121e-12,8.4006182113555,18.4605575708242,2.64973879951678,"X72631","","NR1D1///THRA","nuclear receptor subfamily 1 group D member 1///thyroid hormone receptor, alpha"
"215578_at",3.34022699127998e-10,1.23747897512621e-12,8.39744018920135,18.4465248891083,1.08738133470726,"AU145365","","",""
"225722_at",3.34022699127998e-10,1.24017572790093e-12,-8.39696166217631,18.444411953815,-1.08757966745824,"BF246937","","MIR3658///UCK2","microRNA 3658///uridine-cytidine kinase 2"
"244804_at",3.64886797357344e-10,1.36492066891957e-12,8.37589179350562,18.3513831945279,1.44202739948087,"AW293441","","SQSTM1","sequestosome 1"
"218386_x_at",3.64886797357344e-10,1.36811693567911e-12,-8.37537756870718,18.349112893143,-0.513360526096797,"NM_006447","","USP16","ubiquitin specific peptidase 16"
"1558250_s_at",3.72358532598669e-10,1.4029420706964e-12,-8.36985129398406,18.3247148039392,-1.05401090308899,"AI538880","","",""
"202798_at",3.73291436061707e-10,1.41328444928712e-12,8.36823646739062,18.3175856052538,0.62586151274083,"NM_006323","","SEC24B","SEC24 homolog B, COPII coat complex component"
"201241_at",3.81391995822467e-10,1.45092885470641e-12,-8.36245683642743,18.2920699922901,-0.476064712992978,"NM_004939","","DDX1","DEAD/H-box helicase 1"
"225213_at",3.97388574175211e-10,1.51905280297429e-12,8.35236845077346,18.2475343111757,0.857400832750196,"AW300598","","PPTC7","PTC7 protein phosphatase homolog"
"1555837_s_at",3.98053427128314e-10,1.52887461722809e-12,-8.35095134474722,18.2412786326569,-0.444086569114756,"BE614461","","POLR2B","RNA polymerase II subunit B"
"206066_s_at",3.99021900401544e-10,1.53989247342891e-12,-8.34937245230209,18.2343088241867,-0.80283096112178,"NM_002876","","RAD51C","RAD51 paralog C"
"209580_s_at",4.24644642103258e-10,1.64654163924811e-12,-8.33464752863018,18.1693107557681,-0.691748081123344,"AF114784","","MBD4","methyl-CpG binding domain 4, DNA glycosylase"
"217503_at",4.60692259834449e-10,1.79474076533585e-12,8.31569459443982,18.0856581778919,0.787555064539422,"AA203487","","STK17B","serine/threonine kinase 17b"
"217672_x_at",4.72147623137822e-10,1.85540580367931e-12,8.30838343695284,18.0533915888402,0.438924243057771,"BF114906","","EIF1","eukaryotic translation initiation factor 1"
"233289_at",4.72147623137822e-10,1.85663903017159e-12,-8.30823730071555,18.0527466561295,-1.28856860715301,"AU155234","","",""
"240673_at",4.9586287447837e-10,1.95896444238368e-12,-8.29643764267361,18.0006740966978,-1.1642790808993,"BF115851","","",""
"225019_at",5.12771622724314e-10,2.03514297450711e-12,8.28804614927928,17.9636444486956,0.622390269709602,"BF797381","","CAMK2D","calcium/calmodulin dependent protein kinase II delta"
"219004_s_at",5.16782669152381e-10,2.06051434614027e-12,-8.28532084060995,17.9516187680667,-1.18481411208587,"NM_018944","","MIS18A","MIS18 kinetochore protein A"
"225589_at",5.92189900653809e-10,2.37200892991649e-12,8.25434978700898,17.8149722038859,1.09999532414286,"AB040927","","SH3RF1","SH3 domain containing ring finger 1"
"217602_at",6.01219742283771e-10,2.41988249551314e-12,-8.24995338444674,17.7955774245378,-1.07905317390086,"","","LOC101060363///PPIA","peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A"
"225678_at",6.01219742283771e-10,2.43017033460838e-12,-8.24901995626516,17.7914596768438,-0.560000586049177,"AB051452","","POLR3H","RNA polymerase III subunit H"
"227337_at",6.08922193637749e-10,2.47244128006548e-12,8.24522562482097,17.7747215660175,1.46990857424668,"AA886870","","ANKRD37","ankyrin repeat domain 37"
"212665_at",6.44748769732532e-10,2.64126106874159e-12,8.23069162627317,17.7106115012797,1.47955035821624,"AL556438","","TIPARP","TCDD inducible poly(ADP-ribose) polymerase"
