"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0051169","nuclear transport","10/154","350/18860",0.0285714285714286,3.49907235621521,4.28192315487951,0.000616529117491588,0.0291332580571916,0.0250561404641255,"KHDRBS1/NR4A1/NFKBIA/STK3/CDKN1B/YWHAB/TXN/SQSTM1/MAVS/SETD2",10
"BP","GO:0003151","outflow tract morphogenesis","5/154","84/18860",0.0595238095238095,7.28973407544836,5.24203135871384,0.000624986472593609,0.0291332580571916,0.0250561404641255,"JUN/HES1/SOX17/RARA/SEC24B",5
"BP","GO:0030856","regulation of epithelial cell differentiation","7/154","177/18860",0.0395480225988701,4.84334874165383,4.6612494556593,0.000635455572904608,0.0291332580571916,0.0250561404641255,"HES1/ZFP36/SPRY1/APOLD1/ZFP36L1/CDKN1B/SPRY2",7
"BP","GO:0002888","positive regulation of myeloid leukocyte mediated immunity","3/154","21/18860",0.142857142857143,17.4953617810761,6.86233309999928,0.000637393046894421,0.0291332580571916,0.0250561404641255,"TICAM1/DDX1/MAVS",3
"BP","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","5/154","86/18860",0.0581395348837209,7.12020537601933,5.16138244742665,0.000695897782803548,0.0307470837035368,0.0264441157465348,"ATF3/RNF34/TNFAIP3/ITPRIP/STK3",5
"BP","GO:1904019","epithelial cell apoptotic process","5/154","86/18860",0.0581395348837209,7.12020537601933,5.16138244742665,0.000695897782803548,0.0307470837035368,0.0264441157465348,"ZFP36/FBXO9/ZFP36L1/STK3/CDKN1B",5
"BP","GO:1903311","regulation of mRNA metabolic process","11/154","423/18860",0.0260047281323877,3.18473488686255,4.12337682095657,0.000723464267748513,0.031368633240176,0.0269786811722374,"KHDRBS1/ZC3HAV1/BTG2/SLIRP/ZFP36/JMJD6/CNOT1/ZFP36L1/TOB1/RBM3/BAG4",11
"BP","GO:0010566","regulation of ketone biosynthetic process","3/154","22/18860",0.136363636363636,16.7001180637544,6.68537985055251,0.000733630803806456,0.031368633240176,0.0269786811722374,"PPTC7/EGR1/ADM",3
"BP","GO:0051384","response to glucocorticoid","6/154","133/18860",0.0451127819548872,5.52485108876086,4.75143981111796,0.000786312014784977,0.0330875103364282,0.0284570062493611,"DUSP1/ZFP36/STC1/USP8/ZFP36L1/FOS",6
"BP","GO:0017148","negative regulation of translation","8/154","240/18860",0.0333333333333333,4.08225108225108,4.36026637688888,0.000811081930217126,0.0331714810968744,0.0285292255378626,"BTG2/EIF2AK3/ZFP36/CNOT1/TOB1/RARA/MALSU1/DHFR",8
"BP","GO:0002752","cell surface pattern recognition receptor signaling pathway","5/154","89/18860",0.0561797752808989,6.88019845323216,5.04513169934372,0.000813333184193451,0.0331714810968744,0.0285292255378626,"TRAF3/TNFAIP3/TICAM1/NFKBIA/SQSTM1",5
"BP","GO:0070849","response to epidermal growth factor","4/154","52/18860",0.0769230769230769,9.42057942057942,5.5169819844782,0.000853419717515457,0.0338528644219693,0.0291152511814749,"ZFP36/ZFP36L1/BAG4/FOS",4
"BP","GO:0051591","response to cAMP","5/154","90/18860",0.0555555555555556,6.8037518037518,5.00757169251746,0.000855579749631061,0.0338528644219693,0.0291152511814749,"DUSP1/STC1/ZFP36L1/DUOX1/FOS",5
"BP","GO:0032481","positive regulation of type I interferon production","5/154","91/18860",0.0549450549450549,6.72898530041387,4.97057993785685,0.00089944031172993,0.0350649450940595,0.0301577045697682,"ZC3HAV1/TRAF3/TICAM1/MAVS/SETD2",5
"BP","GO:0034138","toll-like receptor 3 signaling pathway","3/154","24/18860",0.125,15.3084415584416,6.3640391059511,0.000952736023749392,0.0366043941878208,0.0314817120891103,"TNFAIP3/TICAM1/RNF170",3
"BP","GO:0030968","endoplasmic reticulum unfolded protein response","5/154","94/18860",0.0531914893617021,6.51423045040066,4.86286494990375,0.00104109106805866,0.038554227867379,0.0331586720247545,"ATF3/DDIT3/EIF2AK3/PPP1R15A/AKT2",5
"BP","GO:0006984","ER-nucleus signaling pathway","4/154","55/18860",0.0727272727272727,8.90672963400236,5.32808065134388,0.00105495987634514,0.038554227867379,0.0331586720247545,"DDIT3/EIF2AK3/PPP1R15A/AKT2",4
"BP","GO:0043331","response to dsRNA","4/154","55/18860",0.0727272727272727,8.90672963400236,5.32808065134388,0.00105495987634514,0.038554227867379,0.0331586720247545,"TICAM1/NFKBIA/DDX1/MAVS",4
"BP","GO:0050792","regulation of viral process","6/154","141/18860",0.0425531914893617,5.21138436032053,4.55430739141462,0.00106545382845358,0.038554227867379,0.0331586720247545,"ZC3HAV1/TRIM25/TRIM13/ZFP36/RSF1/MAVS",6
"BP","GO:0019083","viral transcription","3/154","25/18860",0.12,14.6961038961039,6.21746658030635,0.00107620251308414,0.038554227867379,0.0331586720247545,"TRIM13/ZFP36/RSF1",3
"BP","GO:0071385","cellular response to glucocorticoid stimulus","4/154","56/18860",0.0714285714285714,8.74768089053803,5.26829205565725,0.0011289664965874,0.0394078163623687,0.0338928032086762,"ZFP36/STC1/USP8/ZFP36L1",4
"BP","GO:0043010","camera-type eye development","10/154","379/18860",0.0263852242744063,3.23133331048898,3.98153507530522,0.00112976010695587,0.0394078163623687,0.0338928032086762,"JUN/HES1/JMJD6/SPRY1/FLT1/RARA/CDKN1B/GPD2/FOS/SPRY2",10
"BP","GO:0032727","positive regulation of interferon-alpha production","3/154","26/18860",0.115384615384615,14.1308691308691,6.07908323166505,0.0012093293171798,0.0410125410126139,0.0352729511538136,"ZC3HAV1/MAVS/SETD2",3
"BP","GO:0035994","response to muscle stretch","3/154","26/18860",0.115384615384615,14.1308691308691,6.07908323166505,0.0012093293171798,0.0410125410126139,0.0352729511538136,"JUN/NFKBIA/FOS",3
"BP","GO:0042176","regulation of protein catabolic process","10/154","383/18860",0.0261096605744125,3.19758570411312,3.94238201091811,0.00122217681629442,0.0410125410126139,0.0352729511538136,"RYBP/DCAF1/TLK2/USP8/TNFAIP3/CSNK1A1/SOX17/CDKN1B/SH3RF1/TIPARP",10
"BP","GO:1904035","regulation of epithelial cell apoptotic process","4/154","58/18860",0.0689655172413793,8.44603672189879,5.15307391528499,0.00128776665218766,0.0426733674368687,0.0367013495873484,"ZFP36/FBXO9/ZFP36L1/CDKN1B",4
"BP","GO:0009895","negative regulation of catabolic process","10/154","394/18860",0.0253807106598985,3.10831300679016,3.83730225636363,0.00150862025741971,0.0493747197829588,0.0424648665051475,"MCL1/RYBP/SLIRP/QSOX1/ZFP36/PPTC7/TLK2/USP8/CSNK1A1/TOB1",10
"BP","GO:0009299","mRNA transcription","4/154","61/18860",0.0655737704918033,8.03065786672344,4.99025494401567,0.0015542976112162,0.0494265793081352,0.0425094684355142,"TRIM25/TRAF3/RARA/MAVS",4
"BP","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","5/154","103/18860",0.0485436893203883,5.94502584793847,4.5659874644726,0.00156587066771793,0.0494265793081352,0.0425094684355142,"MCL1/RNF34/TNFAIP3/ITPRIP/SH3RF1",5
"BP","GO:0016032","viral process","10/154","396/18860",0.0252525252525253,3.09261445625082,3.81859099519887,0.0015661383107821,0.0494265793081352,0.0425094684355142,"JUN/ZC3HAV1/TRIM25/TRIM13/ZFP36/RSF1/CSNK1A1/UVRAG/SLC7A1/MAVS",10
"MF","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","12/162","355/18662",0.0338028169014084,3.89400104329682,5.15161463874637,6.51399040379596e-05,0.0204357457866661,0.0172726293141124,"JUN/NR4A1/NR4A2/DDIT3/HES1/DCAF1/CNOT1/SOX17/SPEN/NFKBIA/JUND/FOS",12
"MF","GO:0140537","transcription regulator activator activity","3/162","11/18662",0.272727272727273,31.4175084175084,9.44295712803783,0.000100668698456483,0.0204357457866661,0.0172726293141124,"DDIT3/JMJD6/STK3",3
